player_name,draft_year,pick_number,college,height_inches,weight_lbs,position,ppg,apg,rpg,spg,bpg,mpg,topg,fpg,fg_pct,three_pt_pct,ft_pct,efg_pct,two_pt_pct,ws,ws_40,ows,dws,ts_pct,tov_pct,ftr,three_pt_attempt_rate,college_seasons,one_and_done,recruit_rank,is_top_100_recruit,is_top_10_recruit,nba_seasons,nba_4yr_total_mp,nba_4yr_bpm,nba_4yr_vorp,nba_4yr_ws,career_ws48,meaningful_career,bpm_tier,minutes_tier,PosVORP
Samuel Dalembert,2001,26,Seton Hall,83,250,Center,7.101694915,0.3220338983,5.847457627,0.3728813559,2.830508475,21.44067797,1.983050847,3.169491525,0.537,0,0.539,0.537,0.537,6,0.189,1.6,4.3,0.542,23.2,0.393,0,2,0,29,0,0,13,4159,-0.9389516711,1.1,11.1,0.114,1,Rotation,Starter+,1
Jamaal Tinsley,2001,27,Iowa State,75,195,Guard,12.5,6.338235294,4.5,2.602941176,0.8235294118,32.51470588,4.014705882,2.911764706,0.388,0.327,0.685,0.423,0.405,8.4,0.152,1.1,7.3,0.477,23.4,0.459,0.217,2,0,101,0,0,11,7358,1.106210927,5.7,12.6,0.057,1,Starter+,Starter+,1
Trenton Hassell,2001,30,Austin Peay State University,77,200,Forward,19.35714286,4.464285714,8.154761905,1.071428571,0.6547619048,36.23809524,3.369047619,1.833333333,0.471,0.345,0.779,0.521,0.523,10.8,0.141,8.2,2.6,0.565,16.4,0.362,0.288,3,0,101,0,0,9,8568,-2.517518674,-1.1,8.1,0.041,1,Rotation,Starter+,0
Gilbert Arenas,2001,31,Arizona,75,191,Guard,15.78571429,2.214285714,3.842857143,1.942857143,0.2285714286,30.52857143,2.685714286,2.357142857,0.466,0.361,0.738,0.53,0.523,9.8,0.183,5.4,4.3,0.563,16.1,0.333,0.349,2,0,99,1,0,11,9361,2.012413204,9.6,23.3,0.127,1,Starter+,Starter+,1
Omar Cook,2001,32,St. John's,73,190,Guard,15.34482759,8.689655172,3.034482759,2.275862069,0.1724137931,38.17241379,5.103448276,2.827586207,0.36,0.309,0.742,0.446,0.424,3.2,0.115,0.8,2.4,0.491,24.6,0.327,0.561,1,1,11,1,0,2,213,-2.759624413,0,-0.1,-0.021,0,Rotation,Bust,0
Will Solomon,2001,33,Clemson,73,185,Guard,15.22340426,2.617021277,2.755319149,1.191489362,0.4255319149,29.13829787,3.436170213,2.5,0.392,0.366,0.717,0.482,0.418,7.3,0.107,4.5,2.8,0.519,19,0.326,0.49,3,0,101,0,0,2,872,-4.4,-0.5,-0.5,0,0,Bust,Bust,0
Terence Morris,2001,34,Maryland,81,221,Forward,12.74264706,1.683823529,6.801470588,1.191176471,1.882352941,26.52205882,2.014705882,2.345588235,0.495,0.338,0.78,0.534,0.542,21.1,0.234,9.1,12,0.574,15.4,0.339,0.23,4,0,101,0,0,3,1742,-2.574397245,-0.3,1.1,0.025,0,Rotation,Rotation,0
Brian Scalabrine,2001,35,USC,81,241,Center,15.66304348,2.706521739,6.086956522,0.9673913043,0.8804347826,33.01086957,3.391304348,2.695652174,0.513,0.343,0.77,0.535,0.538,13,0.171,8,5,0.582,20.1,0.427,0.13,3,0,101,0,0,11,3109,-2.54,-0.3,4,0.054,1,Rotation,Rotation,0
Jeff Trepagnier,2001,36,USC,76,200,Guard,10.64150943,1.433962264,5.150943396,1.924528302,0.9905660377,27.33962264,1.839622642,2.594339623,0.471,0.298,0.659,0.504,0.521,9.6,0.133,4,5.6,0.531,15.5,0.34,0.224,4,0,101,0,0,3,270,-2.791851852,-0.1,0.2,-0.038,0,Rotation,Bust,0
Damone Brown,2001,37,Syracuse,81,200,Forward,10.88495575,1.10619469,6.044247788,1.044247788,0.8495575221,25.63716814,1.442477876,2.513274336,0.497,0.225,0.742,0.508,0.525,12.9,0.178,5.2,7.7,0.543,12.6,0.315,0.09,4,0,101,0,0,4,351,-8.554131054,-0.6,-0.7,-0.1,0,Bust,Bust,0
Michael Wright,2001,39,Arizona,79,238,Forward,15.06060606,0.404040404,8.404040404,0.5252525253,0.2828282828,28.82828283,1.787878788,2.171717172,0.575,0.167,0.749,0.575,0.577,15.7,0.221,10.3,5.4,0.625,12.9,0.635,0.007,3,0,29,1,0,0,0,0,0,0,0,0,Bust,Bust,0
Earl Watson,2001,40,UCLA,73,195,Guard,11.23255814,4.705426357,3.751937984,1.821705426,0.3798449612,33.88372093,3.255813953,2.88372093,0.45,0.341,0.654,0.508,0.507,12,0.11,5.8,6.2,0.535,23.7,0.372,0.339,4,0,101,0,0,13,5807,-0.42,2.3,7.9,0.047,1,Rotation,Starter+,1
